id,name,type,order,column,color,source,target,leafs
WoodProduction,Wood Production,node,0.0,1.0,grey,,,
Solar,Solar,node,1.0,2.0,yellow,,,
Wind,Wind,node,2.0,2.0,lightblue,,,
Geothermal,Geothermal,node,3.0,2.0,brown,,,
Hydropower,Hydropower,node,4.0,2.0,blue,,,
Wood,Wood,node,5.0,2.0,wood,,,
Waste,Waste,node,6.0,2.0,brown,,,
Biodiesel,Biodiesel,node,7.0,2.0,green,,,
BiodieselLoss,Biodiesel loss and coproducts,node,8.0,2.0,green,,,
FuelEthanol,Fuel ethanol,node,9.0,2.0,green,,,
FuelEthanolLoss,Fuel ethanol loss and coproducts,node,10.0,2.0,green,,,
Nuclear,Nuclear,node,11.0,2.0,green,,,
Coal,Coal,node,12.0,2.0,grey,,,
NaturalGas,Natural gas,node,13.0,2.0,orange,,,
Petroleum,Petroleum,node,14.0,2.0,black,,,
ElectricPower,Electric Power Sector,node,15.0,3.0,purple,,,
Transportation,Transportation Sector,node,16.0,4.0,#010101,,,
Industrial,Industrial Sector,node,17.0,4.0,#69779B,,,
Commercial,Commercial Sector,node,18.0,4.0,#ACDBDF,,,
Residential,Residential Sector,node,19.0,4.0,#F0ECE2,,,
ElectricLoss,Electricity Loss,node,20.0,4.0,purple,,,
DensifiedBiomassExport,Densified Biomass Export,node,21.0,2.0,grey,,,
ElectricImport,Electricity Import,node,22.0,2.0,purple,,,
CoalCokeImport,Coal Coke Import,node,23.0,3.0,grey,,,
NetInterstateImport,Net Interstate Electricity Import,node,24.0,2.0,purple,,,
ElectricExport,Electricity Export,node,25.0,4.0,purple,,,
CoalCokeExport,Coal Coke Export,node,26.0,5.0,grey,,,
NetInterstateExport,Net Interstate Electricity Export,node,27.0,4.0,purple,,,
BiodieselSum,Biodiesel and coproducts,group,28.0,0.0,green,,,"['Biodiesel', 'BiodieselLoss']"
FuelEthanolSum,Fuel ethanol and coporducts,group,29.0,0.0,green,,,"['FuelEthanol', 'FuelEthanolLoss']"
Biofuel,Biofuel,group,30.0,0.0,green,,,"['Biodiesel', 'BiodieselLoss', 'FuelEthanol', 'FuelEthanolLoss']"
WoodWaste,Wood and waste,group,31.0,0.0,wood,,,"['Wood', 'Waste']"
Biomass,Biomass,group,32.0,0.0,green,,,"['Biodiesel', 'BiodieselLoss', 'FuelEthanol', 'FuelEthanolLoss', 'Wood', 'Waste']"
NoncombustibleRenewable,Noncombustible renewable energy,group,33.0,0.0,,,,"['Solar', 'Wind', 'Geothermal', 'Hydropower']"
Renewable,Renewable energy,group,34.0,0.0,green,,,"['Solar', 'Wind', 'Geothermal', 'Hydropower', 'Biodiesel', 'BiodieselLoss', 'FuelEthanol', 'FuelEthanolLoss', 'Wood', 'Waste']"
FossilFuel,Fossil Fuel,group,35.0,0.0,pink,,,"['Coal', 'NaturalGas', 'Petroleum']"
Nonrenewable,Nonrenewable energy,group,36.0,0.0,grey,,,"['Coal', 'NaturalGas', 'Petroleum', 'Nuclear']"
Clean,Clean energy,group,37.0,0.0,,,,"['Nuclear', 'Solar', 'Wind', 'Geothermal', 'Hydropower', 'Biodiesel', 'BiodieselLoss', 'FuelEthanol', 'FuelEthanolLoss', 'Wood', 'Waste']"
Total,Total energy consumption,group,38.0,0.0,,,,"['Coal', 'NaturalGas', 'Petroleum', 'Nuclear', 'Solar', 'Wind', 'Geothermal', 'Hydropower', 'Biodiesel', 'BiodieselLoss', 'FuelEthanol', 'FuelEthanolLoss', 'Wood', 'Waste']"
Consumption,Total consumption,group,39.0,5.0,,,,"['ElectricPower', 'Transportation', 'Industrial', 'Commercial', 'Residential']"
Biodiesel->Transportation,,link,,,,Biodiesel,Transportation,
BiodieselLoss->Industrial,,link,,,,BiodieselLoss,Industrial,
Coal->Transportation,,link,,,,Coal,Transportation,
Coal->Residential,,link,,,,Coal,Residential,
Coal->Industrial,,link,,,,Coal,Industrial,
Coal->ElectricPower,,link,,,,Coal,ElectricPower,
Coal->Commercial,,link,,,,Coal,Commercial,
CoalCokeImport->Industrial,,link,,,,CoalCokeImport,Industrial,
ElectricImport->ElectricPower,,link,,,,ElectricImport,ElectricPower,
ElectricPower->Transportation,,link,,,,ElectricPower,Transportation,
ElectricPower->Residential,,link,,,,ElectricPower,Residential,
ElectricPower->Industrial,,link,,,,ElectricPower,Industrial,
ElectricPower->ElectricLoss,,link,,,,ElectricPower,ElectricLoss,
ElectricPower->ElectricExport,,link,,,,ElectricPower,ElectricExport,
ElectricPower->Commercial,,link,,,,ElectricPower,Commercial,
FuelEthanol->Transportation,,link,,,,FuelEthanol,Transportation,
FuelEthanol->Industrial,,link,,,,FuelEthanol,Industrial,
FuelEthanol->Commercial,,link,,,,FuelEthanol,Commercial,
FuelEthanolLoss->Industrial,,link,,,,FuelEthanolLoss,Industrial,
Geothermal->Residential,,link,,,,Geothermal,Residential,
Geothermal->Industrial,,link,,,,Geothermal,Industrial,
Geothermal->ElectricPower,,link,,,,Geothermal,ElectricPower,
Geothermal->Commercial,,link,,,,Geothermal,Commercial,
Hydropower->Industrial,,link,,,,Hydropower,Industrial,
Hydropower->ElectricPower,,link,,,,Hydropower,ElectricPower,
Hydropower->Commercial,,link,,,,Hydropower,Commercial,
Industrial->CoalCokeExport,,link,,,,Industrial,CoalCokeExport,
NaturalGas->Transportation,,link,,,,NaturalGas,Transportation,
NaturalGas->Residential,,link,,,,NaturalGas,Residential,
NaturalGas->Industrial,,link,,,,NaturalGas,Industrial,
NaturalGas->ElectricPower,,link,,,,NaturalGas,ElectricPower,
NaturalGas->Commercial,,link,,,,NaturalGas,Commercial,
Nuclear->ElectricPower,,link,,,,Nuclear,ElectricPower,
Petroleum->Transportation,,link,,,,Petroleum,Transportation,
Petroleum->Residential,,link,,,,Petroleum,Residential,
Petroleum->Industrial,,link,,,,Petroleum,Industrial,
Petroleum->ElectricPower,,link,,,,Petroleum,ElectricPower,
Petroleum->Commercial,,link,,,,Petroleum,Commercial,
Solar->Residential,,link,,,,Solar,Residential,
Solar->Industrial,,link,,,,Solar,Industrial,
Solar->ElectricPower,,link,,,,Solar,ElectricPower,
Solar->Commercial,,link,,,,Solar,Commercial,
Waste->Industrial,,link,,,,Waste,Industrial,
Waste->ElectricPower,,link,,,,Waste,ElectricPower,
Waste->Commercial,,link,,,,Waste,Commercial,
Wind->Industrial,,link,,,,Wind,Industrial,
Wind->ElectricPower,,link,,,,Wind,ElectricPower,
Wind->Commercial,,link,,,,Wind,Commercial,
Wood->Residential,,link,,,,Wood,Residential,
Wood->Industrial,,link,,,,Wood,Industrial,
Wood->ElectricPower,,link,,,,Wood,ElectricPower,
Wood->Commercial,,link,,,,Wood,Commercial,
WoodProduction->Wood,,link,,,,WoodProduction,Wood,
WoodProduction->DensifiedBiomassExport,,link,,,,WoodProduction,DensifiedBiomassExport,
NetInterstateImport->ElectricPower,,link,,,,NetInterstateImport,ElectricPower,
ElectricPower->NetInterstateExport,,link,,,,ElectricPower,NetInterstateExport,
